scheme,pressures,num_pressures,arch_folder,config_tag,num_seeds,num_models,num_trained,num_reused,mean_test_mse_scaled,std_test_mse_scaled,mean_test_rmse_scaled,mean_test_rmse_log10,mean_relative_error_percent,std_relative_error_percent,max_relative_error_percent,mean_best_val_loss,mean_epochs_ran,total_current_run_training_time_s,mean_cached_training_time_s
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_20fbe733f1762f98,1,1,0,1,0.5986295938491821,,0.773711570192137,0.19596154410827407,41.23011815403562,,306.0429620729581,0.46596139669418335,2125.0,0.0,11.879311561584473
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_2458a4a638ae8143,1,1,0,1,0.46330028772354126,,0.680661654365472,0.1748293933986787,32.79268553363344,,218.3429540396912,0.5177894830703735,1853.0,0.0,9.871838569641113
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_2eacc1b2169411f3,1,1,0,1,0.4088236093521118,,0.6393931571045407,0.16010783821902,29.054426605337092,,402.506992574716,0.4733152389526367,5000.0,0.0,29.559009790420532
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_32713c780f0faf0d,1,1,0,1,0.4409549832344055,,0.6640444136007813,0.1714757578111512,32.68956115019224,,393.57221369952924,0.40757375955581665,2011.0,0.0,11.47329044342041
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_387e61417540edb4,1,1,0,1,0.43523162603378296,,0.6597208697879604,0.16747461630595178,34.04325606063278,,203.94957561907376,0.5275219678878784,4251.0,0.0,24.328943490982056
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_4cc1464bad7cfd55,1,1,0,1,0.5382223725318909,,0.7336364034941906,0.1845734128077253,36.606068630625046,,353.81422840366844,0.49878183007240295,891.0,0.0,4.804487466812134
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_5b044f6cf91b371f,1,1,0,1,0.44105789065361023,,0.6641218944242165,0.17067787697674325,31.514049296970256,,364.48723873339225,0.502189040184021,2221.0,0.0,12.346901416778564
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_7950e69f110bf23f,1,1,0,1,0.531886875629425,,0.7293057490719684,0.18307978522642554,38.06355670180423,,347.5296214441744,0.5305514931678772,2164.0,0.0,14.967376470565796
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_84a4e47d74ddc869,1,1,0,1,0.565441906452179,,0.7519587132630214,0.1882421288842483,38.20866820858121,,418.39498166867503,0.6107308864593506,1621.0,0.0,9.754964113235474
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_89fbbf9397ee1d3c,1,1,0,1,0.5354634523391724,,0.7317536828326676,0.18465951040388237,36.17537415934136,,353.9045861879049,0.5072240233421326,2131.0,0.0,11.044713020324707
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_a37a9ced157b4ddf,1,1,0,1,0.5267462134361267,,0.7257728387285699,0.17614313762368897,37.0134265949333,,346.4793316872433,0.5238012671470642,5000.0,0.0,28.549864768981934
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_c2fd27bb073c9c69,1,1,0,1,0.3907413184642792,,0.6250930478451021,0.16008285210486067,28.386564485052826,,334.95139158010454,0.5513591170310974,1563.0,0.0,9.03540587425232
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_d198f4ada6e50f7d,1,1,0,1,0.5586056709289551,,0.7473992714265616,0.1885307162360107,37.112477238302645,,387.78908252936833,0.5017110705375671,3020.0,0.0,17.145954370498657
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_d955821268513d69,1,1,0,1,0.4034784436225891,,0.6351995305591693,0.1623522805133211,29.690217414059614,,220.93909115787497,0.46271374821662903,5000.0,0.0,31.213632106781006
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_f40f3c2b840a9417,1,1,0,1,0.5525991916656494,,0.7433701579063081,0.19049028803840806,36.91951775793267,,318.25734072765783,0.5999135375022888,387.0,0.0,2.088005781173706
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_f6d63d28032cd7e4,1,1,0,1,0.37463316321372986,,0.6120728414279871,0.15796957002670664,27.394229472584307,,174.18560206628854,0.4396030306816101,3677.0,0.0,23.99683690071106
O2_simple_9K,"1,2,5,10",4,arch_30_30,cfg_f76b80ee9d5c667f,1,1,0,1,0.5189749002456665,,0.7203991256558177,0.18353433737330901,34.140212940544735,,314.2612596188882,0.5047598481178284,3845.0,0.0,22.148313999176025
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_0548148689bea802,1,1,1,0,0.39077991247177124,,0.6251239176929413,0.16019672377254845,29.15459338357669,,195.09987849392195,0.5120502710342407,1926.0,13.515838623046875,13.515838623046875
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_08c33a7cef410e48,1,1,1,0,0.5117207169532776,,0.71534657121795,0.18063415660098653,34.50629781564348,,353.6192383612419,0.5014335513114929,1807.0,11.805958271026611,11.805958271026611
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_0ca9e94b67a3c4e0,1,1,1,0,0.565827488899231,,0.7522150549538549,0.1885957605031134,38.56559370720061,,392.16824663033816,0.6038389801979065,1029.0,6.937973737716675,6.937973737716675
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_3ba1510c511ca572,1,1,1,0,0.4850578308105469,,0.6964609327238297,0.17817678759062633,33.4524221017156,,328.96057986148475,0.5256208181381226,1094.0,7.619797706604004,7.619797706604004
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_4b8730268bf694d6,1,1,1,0,0.5684643387794495,,0.7539657411178903,0.19076457990964288,39.70789537234461,,316.5747419390077,0.45061370730400085,2545.0,17.83863353729248,17.83863353729248
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_55803624fab84eca,1,1,1,0,0.5681734085083008,,0.7537727830774342,0.19024667456195074,40.56901218432233,,390.5140878813449,0.5322762727737427,1696.0,11.48992133140564,11.48992133140564
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_657d81fbc2a4fae8,1,1,1,0,0.545346736907959,,0.7384759555381333,0.1855847367472543,37.279819132059316,,384.365068817692,0.49520736932754517,630.0,4.443504333496094,4.443504333496094
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_7873e58480555710,1,1,1,0,0.618638813495636,,0.7865359581707857,0.1986032456877645,38.37919772038103,,344.3309791703722,0.5272635221481323,2617.0,17.52231240272522,17.52231240272522
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_7d084eea2b212779,1,1,1,0,0.5800917148590088,,0.7616375219610761,0.18921820770372547,34.76556546820693,,338.83855094805403,0.5221312046051025,3420.0,21.27903413772583,21.27903413772583
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_8a8f59dfb83195c9,1,1,1,0,0.3932347595691681,,0.6270843321030817,0.15672121066995337,28.366849923952557,,299.2313904786154,0.4104124903678894,3866.0,26.447277784347534,26.447277784347534
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_a76774c31d2a0d5d,1,1,1,0,0.6127067804336548,,0.7827558881501019,0.1911490073669244,40.18967292941076,,426.1730643154209,0.584832489490509,1108.0,7.616568565368652,7.616568565368652
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_b0e2f390b3d6291f,1,1,1,0,0.39770370721817017,,0.6306375402861537,0.1616376339759224,28.319669734269382,,347.64152422022755,0.5428850650787354,1252.0,8.664999723434448,8.664999723434448
O2_simple_9K,"1,2,5,10",4,arch_30_30_30,cfg_b9edfa369445e6ec,1,1,1,0,0.6624051332473755,,0.8138827515357329,0.20579647450863414,43.52263679155894,,436.6355599517481,0.5397242903709412,1279.0,8.391363620758057,8.391363620758057
