scheme,experiment_name,num_species_kept,hidden_size_str,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_rmse_mean,test_rmse_std,test_rmse_min,test_rmse_max,test_mse_unscaled_mean,test_mse_unscaled_std,test_mse_unscaled_min,test_mse_unscaled_max,test_rmse_unscaled_mean,test_rmse_unscaled_std,test_rmse_unscaled_min,test_rmse_unscaled_max,training_time_s_mean,training_time_s_std,training_time_s_min,training_time_s_max,epochs_ran_mean,epochs_ran_std,epochs_ran_min,epochs_ran_max,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,mean_rel_error_k1_mean,mean_rel_error_k1_std,mean_rel_error_k1_min,mean_rel_error_k1_max,max_rel_error_k1_mean,max_rel_error_k1_std,max_rel_error_k1_min,max_rel_error_k1_max,mean_rel_error_k2_mean,mean_rel_error_k2_std,mean_rel_error_k2_min,mean_rel_error_k2_max,max_rel_error_k2_mean,max_rel_error_k2_std,max_rel_error_k2_min,max_rel_error_k2_max,mean_rel_error_k3_mean,mean_rel_error_k3_std,mean_rel_error_k3_min,mean_rel_error_k3_max,max_rel_error_k3_mean,max_rel_error_k3_std,max_rel_error_k3_min,max_rel_error_k3_max
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),4,"30, 30, 30",1.0585481078351222e-06,5.483076145636579e-07,4.0232680476037785e-07,2.4899591153371148e-06,0.0009981818996216087,0.0002558391828410121,0.0006342923653650404,0.001577960428951599,1.471363387541058e-45,9.61757016193905e-46,0.0,2.802596928649634e-45,3.3823546519008984e-23,1.8562301593268722e-23,0.0,5.293955920339377e-23,114.91016751527786,20.059217736181836,64.32292795181274,152.06977248191833,2241.85,392.5062889204519,1265,2985,1.0867535365264303e-06,5.29299396142868e-07,3.824089435511269e-07,2.2403572120310857e-06,0.0017854606208857148,0.0006000859217278854,0.0010863086208701134,0.0032928886357694864,0.00903236388694495,0.003266774337782998,0.00420790771022439,0.01509570050984621,0.0010467617976246402,0.00031080467303868823,0.0005449872696772218,0.001502840081229806,0.004427562694763765,0.0015323155841005162,0.0019115147879347205,0.007263584528118372,0.0011757071391912178,0.0003100698262628857,0.0006862774025648832,0.0017294925637543201,0.00518190604634583,0.0023942698238649594,0.0019551238510757685,0.011179246939718723
O2_novib,4__O2(X)_O2(a)_O2(b)_O2(Hz),4,"50, 50",1.5741139804958948e-06,1.5003284903430209e-06,3.295224360044813e-07,5.703592250938527e-06,0.0011465970230505305,0.0005225738398870246,0.0005740404480561289,0.0023882194729418246,1.1210387714598537e-45,5.750807556829732e-46,0.0,1.401298464324817e-45,2.994713704459715e-23,1.5362557157342027e-23,0.0,3.743392130574644e-23,206.9930811882019,54.840120282356374,101.75690531730652,302.0665650367737,3391.65,900.9547143827048,1704,5000,1.490161472077034e-06,1.3647314377318873e-06,3.8123196418382575e-07,5.003473779652267e-06,0.0025925950496457515,0.0015303554044068673,0.000962144578807056,0.006408927030861378,0.013037994247861206,0.007392420553612978,0.0047256117686629295,0.030169174075126648,0.0009038646705448628,0.0003480256091395917,0.0005057442467659712,0.0017406516708433628,0.004098232393153012,0.0010739790422042634,0.0016767578199505806,0.00601030932739377,0.0009659133473178371,0.00023218839972994002,0.0006965901120565832,0.0014370712451636791,0.0035468693706206976,0.001047527818683771,0.0021781378891319036,0.00594806345179677
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),5,"30, 30",2.2722299718225258e-06,1.0749369502645748e-06,8.357511092071945e-07,4.243930106895277e-06,0.0014645878027216594,0.0003659343339733136,0.000914194240414582,0.002060080121474715,1.6815581571897804e-45,9.750968629967414e-46,0.0,4.203895392974451e-45,3.8161833370818333e-23,1.5397629037159434e-23,0.0,6.483745362808791e-23,255.17138010263443,59.450940111048965,144.06332063674927,337.5748679637909,4038.6,829.8730023322846,2505,5000,2.0327133656223847e-06,8.440552729315749e-07,8.546341723558725e-07,3.3323555180686527e-06,0.0030663522193208337,0.0008689092267139804,0.0014999951235949993,0.004711993504315615,0.01401213314384222,0.004693522515937288,0.006484288722276688,0.02389153279364109,0.0013201442459831014,0.0004069643578572066,0.0004106004489585757,0.001896650530397892,0.005699801701121032,0.0016847504362549046,0.0020147226750850677,0.007814244367182255,0.0011211236065719276,0.0003193284749095415,0.0005033575580455363,0.0017579265404492617,0.004580699530197308,0.0014815190101256416,0.0017920337850227952,0.006557169836014509
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),5,"30, 30, 30",1.5520382248723763e-06,8.056196250939345e-07,6.704776183141803e-07,3.848883807222592e-06,0.0012104774371899632,0.00030224179746197836,0.0008188269770312775,0.0019618572341591504,1.9618178500547438e-45,8.383170555096748e-46,1.401298464324817e-45,4.203895392974451e-45,4.345578929115771e-23,8.79067850427501e-24,3.743392130574644e-23,6.483745362808791e-23,173.31570743322374,32.64743528496487,111.55308175086975,217.30738806724548,2340.7,332.70377214573324,1878,3246,1.4331183488138777e-06,6.209253945787525e-07,6.385958590726659e-07,2.980430404022627e-06,0.002153033320792019,0.0005649160276214375,0.0014064605347812176,0.0032016232144087553,0.01232672124169767,0.007778093116727257,0.005915582645684481,0.04068782180547714,0.0011130290862638504,0.00024344327733306223,0.0007249117479659617,0.0016796025447547436,0.005687497660983354,0.0021309565595945584,0.0025329093914479017,0.011300147511065006,0.0012387928290991113,0.0003562914470300682,0.0007564128027297556,0.0019128556596115232,0.004855444142594934,0.0018126756059712406,0.0024130851961672306,0.00831467192620039
O2_novib,5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),5,"50, 50",3.4565065305969258e-06,2.292678100707409e-06,8.494687904203602e-07,9.120885806623846e-06,0.0017670603305344683,0.0005929447643116262,0.0009216663118614893,0.0030200804304892025,1.541428310757299e-45,6.26679724599271e-46,0.0,2.802596928649634e-45,3.7888070925106217e-23,1.0559226064712557e-23,0.0,5.293955920339377e-23,239.1309319257736,73.98240072348074,143.37397623062134,369.88898491859436,2931.25,898.7956781452788,1807,4711,2.8578809928490047e-06,1.6548650382757866e-06,9.112975737934904e-07,6.376266155712074e-06,0.004015897668432444,0.0014667720016510585,0.0018791623879224062,0.006898832973092794,0.020138642610982062,0.007838347247303874,0.009129145182669163,0.038494791835546494,0.0013750432612141595,0.00047595510347609105,0.0006806039600633085,0.0026304966304451227,0.005853810010012239,0.0017964642688121952,0.002941401908174157,0.01045159436762333,0.0011770747252739966,0.00025162043760125,0.0006260916707105935,0.0016927175456658006,0.004733266239054501,0.0013344556603653638,0.0028853865806013346,0.007362696807831526
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),6,"30, 30",4.073697994044778e-06,1.928210689304141e-06,1.596320885255409e-06,8.30775752547197e-06,0.00196411091736317,0.000476794447975871,0.001263455929288952,0.0028823180819389053,2.2420775429197074e-45,9.536635453772328e-46,1.401298464324817e-45,4.203895392974451e-45,4.637652969703952e-23,9.803062688950507e-24,3.743392130574644e-23,6.483745362808791e-23,189.81398810148238,70.05329756479674,81.75897192955017,342.2207684516907,3236.95,911.1999303983152,1841,5000,3.497221457109845e-06,1.5644186640282358e-06,1.4274639943323564e-06,6.686465858365409e-06,0.004367146303411573,0.0011890245761051904,0.0027465892489999533,0.006157945841550827,0.021840740041807295,0.0058915601022191694,0.01137829665094614,0.03048846498131752,0.001612782571464777,0.0004486754843415998,0.0007817655568942428,0.0026372717693448067,0.006596368737518787,0.0015601968133964195,0.004375350195914507,0.009683557786047459,0.0013888798886910081,0.00029594301241624095,0.0009538152953609824,0.001876043388620019,0.005700467678252608,0.001917366235319625,0.0031979777850210667,0.009834705851972103
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),6,"30, 30, 30",2.4374570116947326e-06,1.9584297250982515e-06,4.453819144600857e-07,9.334505193692166e-06,0.0014686140677088136,0.0005435068699730483,0.0006673693988040549,0.0030552422479554983,2.382207389352189e-45,1.7666776589316568e-45,0.0,7.006492321624085e-45,4.449253151701911e-23,2.0586710801906065e-23,0.0,8.370479270402673e-23,155.44875600337983,62.56363412134837,68.30601811408997,284.39585185050964,2163.45,592.911325135289,1100,3670,2.195983885485475e-06,1.742228200364847e-06,4.7542888978568956e-07,8.181909852282842e-06,0.0027282546914648266,0.0012879965209283476,0.0010770924855023623,0.006960632279515266,0.015551578882150353,0.008123538630947799,0.006020343862473965,0.03664722293615341,0.0013189071469241753,0.00037134199080496734,0.0006122004124335945,0.0020190575160086155,0.0064312413684092466,0.0030213033232014447,0.002316652098670602,0.01456107385456562,0.0013858560851076618,0.0004805150479816411,0.0006962695042602718,0.0026061320677399635,0.005322334973607212,0.0020975439524734984,0.0030285019893199205,0.010924126021564007
O2_novib,6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),6,"50, 50",3.2381508603407383e-06,2.4224480226498752e-06,4.4290109713074344e-07,7.693039151490666e-06,0.00166776896603785,0.0006933500188913311,0.000665508149559976,0.002773632843671034,1.401298464324817e-45,4.54641256622254e-46,0.0,2.802596928649634e-45,3.633750713534149e-23,9.227193193223919e-24,0.0,5.293955920339377e-23,239.3040591955185,70.52740764727783,134.51435041427612,427.69603300094604,3034.45,844.2094074838367,1530,4965,2.7270585331393703e-06,1.9220268082270313e-06,3.9578769474246654e-07,5.734711439799867e-06,0.0037984404189046472,0.0017908525003768028,0.0013080298667773604,0.006409869063645601,0.01827596132643521,0.008860498468773384,0.006864970549941063,0.0341879166662693,0.0011946629732847215,0.00045133035812878054,0.00042425451101735234,0.002004388254135847,0.006019029731396586,0.0019068131203685596,0.002343423431739211,0.010103910230100155,0.001127663569059223,0.0002523335413683931,0.0007033637375570834,0.0017915138741955161,0.00435493936529383,0.001112618838273888,0.003040153766050935,0.00754126813262701
O2_novib,7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),7,"30, 30",4.223090684263298e-06,2.1931782709546804e-06,1.335857632511761e-06,9.731615136843175e-06,0.0019899418850882946,0.0005263798690704985,0.0011557930751271012,0.0031195536759035217,2.1720126197034665e-45,1.0638022515586557e-45,1.401298464324817e-45,4.203895392974451e-45,4.5420860628509496e-23,1.070946651917101e-23,3.743392130574644e-23,6.483745362808791e-23,130.8813201189041,40.645116170980124,80.90932130813599,224.06178665161133,2950.4,907.9989218634915,1815,5000,3.801892874889745e-06,1.8155519927918637e-06,1.1636907765932847e-06,8.01521067842259e-06,0.004633287072647363,0.00149362655618033,0.0022007867228239775,0.007736897096037865,0.022835373226553202,0.008345715493096024,0.008372999727725983,0.03743766248226166,0.0016403031069785357,0.0004537932540841951,0.0008175842231139541,0.0025393920950591564,0.006912264437414706,0.0024927038553337025,0.002781655639410019,0.012382663786411285,0.0013883148698369042,0.00035287018749433687,0.0008671859395690262,0.0021023296285420656,0.005552276654634624,0.0022989688176160593,0.002755003282800317,0.010034321807324886
O2_novib,7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),7,"30, 30, 30",1.7409066131790495e-06,6.802172311236451e-07,4.0496107089893485e-07,3.3054004688892746e-06,0.0012927561175181397,0.0002708431937068804,0.0006363655167424888,0.0018180760349581849,2.45227231256843e-45,1.428687995400934e-45,0.0,5.605193857299268e-45,4.587501024786927e-23,1.913266007109637e-23,0.0,7.486784261149288e-23,122.23574985265732,19.97667482633083,82.74116230010986,154.75937223434448,2335.5,389.0811713444083,1595,2959,1.631621531601013e-06,5.974062748779494e-07,3.596283227125241e-07,2.5000342520797858e-06,0.0024391126236878334,0.0005378198413503014,0.0011077729286625981,0.0033813377376645803,0.012222398235462607,0.003155784816888406,0.005153983365744352,0.01780930534005165,0.0012726198125164955,0.0003552771559358855,0.0007831384427845478,0.0021868045441806316,0.006075227900873869,0.0030796445045682937,0.002644816180691123,0.012792915105819702,0.0013768137810984626,0.00045523889497681386,0.0006507232901640236,0.0024047347251325846,0.005356091831345111,0.0018650463604894202,0.0021402165293693542,0.008968492969870567
