experiment_folder,run_timestamp,hidden_size_label,hidden_size_tuple,num_species_kept,source_mode,test_mse,test_mse_std,test_rmse,test_rmse_std,test_mse_unscaled,test_mse_unscaled_std,test_rmse_unscaled,test_rmse_unscaled_std,training_time_s,training_time_s_std,epochs_ran,epochs_ran_std,best_val_loss,best_val_loss_std,mean_rel_error_k1,mean_rel_error_k1_std,mean_rel_error_k2,mean_rel_error_k2_std,mean_rel_error_k3,mean_rel_error_k3_std,max_rel_error_k1,max_rel_error_k1_std,max_rel_error_k2,max_rel_error_k2_std,max_rel_error_k3,max_rel_error_k3_std,arch_sort_key,mean_rel_error_avg,mean_rel_error_avg_std,baseline_num_species,baseline_test_mse,baseline_test_mse_std,mse_ratio_vs_baseline,mse_ratio_vs_baseline_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_std
2__O2(X)_O2(a),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",2,seed_aggregate,0.0152514211833477,0.0003914907442091,0.1234867405538796,0.0016046284129717,1.8951090366605608e-41,5.467889468770227e-43,4.3528432328180466e-21,6.36285033426014e-23,58.36392081975937,51.92907636607764,888.9,740.5782875564203,0.015976260411553,0.0009513800795043,0.2640713937580585,0.0070073850874263,0.018121888116002,0.000718393867008,0.1321758136153221,0.0025644541007599,0.6809321820735932,0.0541975214346161,0.0969911143183708,0.0100969424506892,0.3062508970499039,0.0073713649350819,"(3, 30, (30, 30, 30))",0.1381230318297942,0.0024987988302503238,11,1.955560750843688e-06,1.4344503439113132e-06,7799.001476567667,5724.254905699673,779800.1476567667,572425.4905699673
3__O2(X)_O2(a)_O(3P),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",3,seed_aggregate,0.014675013849046,0.0029065176453398,0.1200337062828577,0.0167622133021271,1.80424884423374e-41,3.7310013183523095e-42,4.2027596867541345e-21,6.318722870058325e-22,57.32924610376358,58.620723124375935,1097.8,1146.4952360632772,0.0153812728975899,0.0032173498941163,0.2575038377195596,0.0340647605792439,0.018583574751392,0.0025152716532058,0.1275048531591892,0.0197701355014284,0.6640221565961838,0.0854117848226643,0.0942330926656723,0.0169819023364777,0.298594144359231,0.0435251525440253,"(3, 30, (30, 30, 30))",0.13453075521004693,0.013155449916523695,11,1.955560750843688e-06,1.4344503439113132e-06,7504.2485091372155,5701.671033156948,750324.8509137216,570167.1033156948
4__O2(X)_O2(a)_O2(b)_O2(Hz),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",4,seed_aggregate,1.0585481078351222e-06,5.483076145636579e-07,0.0009981818996216,0.000255839182841,1.471363387541058e-45,9.61757016193905e-46,3.3823546519008984e-23,1.8562301593268722e-23,114.91016751527786,20.05921773618184,2241.85,392.5062889204519,1.0867535365264305e-06,5.29299396142868e-07,0.0017854606208857,0.0006000859217278,0.0010467617976246,0.0003108046730386,0.0011757071391912,0.0003100698262628,0.0090323638869449,0.0032667743377829,0.0044275626947637,0.0015323155841005,0.0051819060463458,0.0023942698238649,"(3, 30, (30, 30, 30))",0.0013359765192338332,0.00024784537191052035,11,1.955560750843688e-06,1.4344503439113132e-06,0.5413015716225806,0.48607593741486743,-45.869842837741935,48.607593741486745
5__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",5,seed_aggregate,1.5520382248723765e-06,8.056196250939345e-07,0.0012104774371899,0.0003022417974619,1.961817850054744e-45,8.383170555096748e-46,4.345578929115771e-23,8.79067850427501e-24,173.31570743322374,32.64743528496487,2340.7,332.70377214573324,1.4331183488138777e-06,6.209253945787525e-07,0.002153033320792,0.0005649160276214,0.0011130290862638,0.000243443277333,0.0012387928290991,0.00035629144703,0.0123267212416976,0.0077780931167272,0.0056874976609833,0.0021309565595945,0.0048554441425949,0.0018126756059712,"(3, 30, (30, 30, 30))",0.0015016184120516332,0.00023695717915290227,11,1.955560750843688e-06,1.4344503439113132e-06,0.793653801960783,0.7131821490628172,-20.634619803921705,71.31821490628172
6__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",6,seed_aggregate,2.437457011694733e-06,1.9584297250982515e-06,0.0014686140677088,0.000543506869973,2.3822073893521893e-45,1.7666776589316568e-45,4.449253151701911e-23,2.0586710801906065e-23,155.44875600337983,62.56363412134837,2163.45,592.911325135289,2.195983885485475e-06,1.742228200364847e-06,0.0027282546914648,0.0012879965209283,0.0013189071469241,0.0003713419908049,0.0013858560851076,0.0004805150479816,0.0155515788821503,0.0081235386309477,0.0064312413684092,0.0030213033232014,0.0053223349736072,0.0020975439524734,"(3, 30, (30, 30, 30))",0.0018110059744988335,0.0004746606534491668,11,1.955560750843688e-06,1.4344503439113132e-06,1.246423569629908,1.3560408197686986,24.642356962990796,135.60408197686985
7__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",7,seed_aggregate,1.7409066131790495e-06,6.802172311236451e-07,0.0012927561175181,0.0002708431937068,2.4522723125684302e-45,1.4286879954009342e-45,4.587501024786927e-23,1.913266007109637e-23,122.23574985265732,19.97667482633083,2335.5,389.0811713444083,1.631621531601013e-06,5.974062748779494e-07,0.0024391126236878,0.0005378198413503,0.0012726198125164,0.0003552771559358,0.0013768137810984,0.0004552388949768,0.0122223982354626,0.0031557848168884,0.0060752279008738,0.0030796445045682,0.0053560918313451,0.0018650463604894,"(3, 30, (30, 30, 30))",0.0016961820724342002,0.00026304086940152487,11,1.955560750843688e-06,1.4344503439113132e-06,0.8902339712166802,0.739871656531454,-10.976602878331976,73.98716565314541
8__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",8,seed_aggregate,2.1018178159692978e-06,2.338957285382691e-06,0.0013401113061462,0.0005674685273982,2.312142466135948e-45,1.5266065404402755e-45,4.314102038611638e-23,2.1788331647458e-23,136.1659984588623,34.17383548332156,2597.6,660.1593428065203,1.8973011242451325e-06,1.7098165325546352e-06,0.002519775298424,0.00142147793157,0.0012808688945369,0.0004392895411532,0.0013885584485251,0.0004750242012515,0.0137903419323265,0.0073868891199397,0.0068618693621829,0.0046369198172422,0.0051428659760858,0.0021984564275462,"(3, 30, (30, 30, 30))",0.0017297342138286667,0.0005206003801895717,11,1.955560750843688e-06,1.4344503439113132e-06,1.0747903459723815,1.4325139517301733,7.4790345972381544,143.25139517301733
9__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",9,seed_aggregate,2.348167095078679e-06,1.5563984217881012e-06,0.0014717195370052,0.0004379482058727,2.942726775082116e-45,1.0063913224452032e-45,5.340779995127255e-23,9.751311892683316e-24,124.0978767633438,33.2263836168479,2350.0,633.5315386989946,2.1370240338001165e-06,1.090717446340811e-06,0.0027824346616398,0.0011503004111667,0.0012753769347909,0.0003293182098854,0.0014898050227202,0.0003052147575092,0.0142522909911349,0.0056665629389947,0.0065460541285574,0.0020656147186126,0.0056848328793421,0.0015439173261881,"(3, 30, (30, 30, 30))",0.0018492055397169667,0.0004116089794255659,11,1.955560750843688e-06,1.4344503439113132e-06,1.2007640744812498,1.1871056201456702,20.07640744812498,118.71056201456702
10__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",10,seed_aggregate,3.0683277202570026e-06,2.4515795818503896e-06,0.0016532353500425,0.0005939525035295,2.6624670822171526e-45,1.4304953180658492e-45,4.9939534653966505e-23,1.331836724473826e-23,122.05945081710816,30.63436442019797,2279.15,575.2873218067463,2.8280935167117604e-06,1.972001555584768e-06,0.0033634714258369,0.001573541152201,0.0015697025897679,0.0003657033092556,0.0014640398148912,0.0004503930938002,0.0172896606847643,0.0084946835099798,0.0076099379453808,0.0028366448895689,0.0055167981307022,0.0017621549318525,"(3, 30, (30, 30, 30))",0.0021324046101653333,0.0005590293777823471,11,1.955560750843688e-06,1.4344503439113132e-06,1.5690270521809324,1.7018344192345443,56.90270521809324,170.18344192345444
11__O2(X)_O2(a)_O2(b)_O2(Hz)_O2+(X)_O(3P)_O(1D)_O+(gnd)_O-(gnd)_O3(X)_O3(exc),2026-04-17_19-31-37,"30, 30, 30","(30, 30, 30)",11,seed_aggregate,1.955560750843688e-06,1.4344503439113132e-06,0.0013312275727916,0.0004393702434441,1.5414283107572992e-45,1.104319775298834e-45,3.441844124024369e-23,1.9379837958944293e-23,139.5993730187416,51.82221750649423,2444.9,685.0060237921847,2.048240502062981e-06,1.484919872434401e-06,0.0028529363917186,0.0011346098721889,0.0009973526219255,0.0004003835653226,0.0011848402034956,0.0003833470112787,0.0142998383147642,0.0065120530312396,0.0067947816802188,0.0034533093129861,0.0044065687281545,0.0016656466478858,"(3, 30, (30, 30, 30))",0.0016783764057132335,0.00042092510451586943,11,1.955560750843688e-06,1.4344503439113132e-06,1.0,0.0,0.0,0.0
