architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"30, 30",40,167.98829889297485,2351,0.005630258228629828,8,50,0.003082905870396644,0.004146277542887774,0.046173477722612356,0.030836923085743557,2.8102760442341342e-42,5.249080470610401e-42,1.3163498640436903e-21,1.038026531292092e-21,0.05738008432090282,0.03667349919406158,0.10497987270355225,0.06848826262261397,0.024015177953988314,0.017480791779241146,0.043145202919840815,0.03695527144418968
"30, 30",40,167.98829889297485,2351,0.005630258228629828,9,50,0.0016032777511281893,0.0025091685118577966,0.03367419843536545,0.02166393571961984,1.4990250192268298e-42,2.999062139853933e-42,1.025178686701026e-21,6.693531799885538e-22,0.041675222143530845,0.024821786570792235,0.07710248783230782,0.04932736359898884,0.015041286768391728,0.005845689724331789,0.032881893962621686,0.023037998832548676
"30, 30",40,167.98829889297485,2351,0.005630258228629828,10,50,0.0008130545489257201,0.0010916642591735936,0.025392970730971888,0.012971182921450353,7.394371736549194e-43,7.535714345581143e-43,7.95014597645092e-22,3.277025529136627e-22,0.03212694350630045,0.013555311233132878,0.05611361972987652,0.03088372664529359,0.014974892623722553,0.005383733985776971,0.025292316786944866,0.00886737887118636
"30, 30",40,167.98829889297485,2351,0.005630258228629828,11,1,0.00038360466714948416,0.0,0.019585828222198932,0.0,4.456129116552918e-43,0.0,6.675424418381889e-22,0.0,0.024214258417487144,0.0,0.040883008390665054,0.0,0.01035206951200962,0.0,0.021407706663012505,0.0
"30, 30",41,140.47717881202698,1980,0.006858483627438545,3,50,0.013557560832705349,0.007671914995402542,0.1099007625723944,0.03846275105490438,1.5763122347282008e-41,1.7276349453257394e-41,3.3370143883922757e-21,2.151152555944123e-21,0.13287177070975303,0.04922631492044702,0.22592092126607896,0.06897163748494553,0.0657767303660512,0.05914831084127818,0.10691765494644642,0.0629846637691796
"30, 30",41,140.47717881202698,1980,0.006858483627438545,4,50,0.012369171500904486,0.006808104401067941,0.10584146606194515,0.03415780383400836,1.4513780688428573e-41,1.5817020320728457e-41,3.1945858782546254e-21,2.0756689897198674e-21,0.125963191986084,0.04420216915230541,0.22080785252153873,0.05971803562518915,0.056909304950386284,0.04012075058591291,0.10017241451889276,0.060840519344358385
"30, 30",41,140.47717881202698,1980,0.006858483627438545,5,50,0.007691058464115485,0.00617971425406478,0.07893629883578294,0.03821150599261244,8.022882123768161e-42,8.387033744268855e-42,2.4128946546862005e-21,1.4835166022511917e-21,0.09490343071520328,0.0425385180663787,0.17240273363888264,0.07979444128860182,0.030907223261892797,0.018128911152714523,0.08140033513307571,0.04939862370176598
"30, 30",41,140.47717881202698,1980,0.006858483627438545,6,50,0.005975848718080669,0.005536042863735969,0.06855724955538087,0.035717674217142135,5.83380168876922e-42,7.483236305954827e-42,2.0122497089680772e-21,1.3359089780097694e-21,0.08309878185391426,0.04033221602139436,0.14970346428453923,0.07439559810523814,0.031232927311211824,0.015870222813974474,0.06835995834320784,0.04541641131862118
"30, 30",41,140.47717881202698,1980,0.006858483627438545,7,50,0.004828229519771412,0.004922447097867531,0.06064898230023166,0.03391062467306666,4.531827259595745e-42,6.284681821926035e-42,1.8012322251412917e-21,1.134631980295063e-21,0.07472208954393864,0.03764582048223094,0.13447201520204544,0.07192091891765381,0.029420131463557483,0.019411896280610314,0.06027412142604589,0.03591595216513463
"30, 30",41,140.47717881202698,1980,0.006858483627438545,8,50,0.003966848850250244,0.004688208102747175,0.052922876865345476,0.03414700505967872,3.726585110056132e-42,5.732844903978759e-42,1.5992094977568371e-21,1.0812557941303513e-21,0.06583433043211699,0.03886260246595612,0.11527235440909862,0.07438500834784657,0.027544916179031133,0.015500887259237262,0.054685722030699255,0.03882033221386186
