architecture,seed,training_time_s,epochs_ran,best_val_loss,observed_species_count,repeats,test_mse,test_mse_within_subset_std,test_rmse,test_rmse_within_subset_std,test_mse_unscaled,test_mse_unscaled_within_subset_std,test_rmse_unscaled,test_rmse_unscaled_within_subset_std,mean_rel_error_avg,mean_rel_error_avg_within_subset_std,mean_rel_error_k1,mean_rel_error_k1_within_subset_std,mean_rel_error_k2,mean_rel_error_k2_within_subset_std,mean_rel_error_k3,mean_rel_error_k3_within_subset_std
"30, 30, 30",37,131.65033841133118,1721,0.004644119441509247,5,50,0.00815596959728282,0.005571929843705094,0.08298514791427372,0.03562912885447708,6.783713891765727e-42,8.816809479335368e-42,2.173246285811497e-21,1.4355188863168116e-21,0.09821421515196561,0.040425054284288206,0.18462331809103488,0.0781704900335524,0.04045435048639774,0.021102510614947424,0.0695649776980281,0.045846641067186424
"30, 30, 30",37,131.65033841133118,1721,0.004644119441509247,6,50,0.0071424147405195985,0.005831477856462866,0.07498841317945856,0.038976308564901384,6.849154530049695e-42,7.714818410587942e-42,2.1853276185995678e-21,1.439964488949514e-21,0.08868712067604065,0.04392229352951967,0.16311836764216422,0.08404894198537993,0.03254082288593054,0.015611583775994387,0.07040217120200395,0.04842396486884859
"30, 30, 30",37,131.65033841133118,1721,0.004644119441509247,7,50,0.004334851743187755,0.005185645559495882,0.05486490665910697,0.036396342679934676,4.352993549578612e-42,6.275049940511519e-42,1.6730573431200484e-21,1.2465442937219262e-21,0.06610113937407731,0.04087632510542242,0.11868305198848247,0.07979627677940906,0.02441257447004318,0.011968787579210391,0.05520779483020306,0.04130345467559884
"30, 30, 30",37,131.65033841133118,1721,0.004644119441509247,8,50,0.003251022230833769,0.0035049946054127186,0.0495192929488397,0.02826414436491512,2.486604124944388e-42,3.541045188549074e-42,1.3582936870134726e-21,8.010258327692893e-22,0.06056223083287478,0.031230397812477773,0.11360555976629257,0.06428515319920523,0.024396522510796784,0.011264261537558681,0.04368461353704333,0.02646448434995046
"30, 30, 30",37,131.65033841133118,1721,0.004644119441509247,9,50,0.0012527591368416324,0.002239032174450942,0.03012464072496444,0.018581312064368492,1.3088407916486656e-42,2.5623010376779505e-42,9.661761471007784e-22,6.126536088379477e-22,0.03972844626754522,0.021150639355867706,0.07124908059835434,0.04137194507531588,0.016317349802702667,0.005650427795675538,0.03161890577524901,0.020724143050000105
"30, 30, 30",37,131.65033841133118,1721,0.004644119441509247,10,50,0.0009144348028348758,0.0010975065075930022,0.02752603190193676,0.012520078696575178,7.753944922494943e-43,9.853271822081679e-43,7.7406745578432195e-22,4.1977859181368585e-22,0.03500385221093893,0.015359283705989877,0.06342614144086837,0.03104773959722641,0.015173762291669845,0.00323032766376573,0.02641165368258953,0.014162793983113573
"30, 30, 30",37,131.65033841133118,1721,0.004644119441509247,11,1,0.0004296785918995738,0.0,0.02072869006714061,0.0,2.7325320054333933e-43,0.0,5.227362628929997e-22,0.0,0.027148425579071045,0.0,0.05008520185947418,0.0,0.012142753228545189,0.0,0.01921730488538742,0.0
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,3,50,0.014444758610334247,0.0066232571390419555,0.11561700190907487,0.03282479976924803,1.361232538632842e-41,1.2788058119160353e-41,3.263648174716801e-21,1.720734139254554e-21,0.14004019007086754,0.04489463473646097,0.2401505656540394,0.06352498823624285,0.07586452789604664,0.05813108713848691,0.10410547681152821,0.055409785154849366
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,4,50,0.011096319872885943,0.005654314507475218,0.0999599525845087,0.03323142717652547,9.105357161489797e-42,9.189812081802824e-42,2.6371568918090844e-21,1.466547199879242e-21,0.11686536967754364,0.038960924776049316,0.21351450577378273,0.06974111205473016,0.05456107385456562,0.03408455746231629,0.08252053171396255,0.047279066410856545
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,5,50,0.009868423243751749,0.006479678052262937,0.0911837127639318,0.039420220323287555,9.826437325262061e-42,9.65760988517728e-42,2.6859114658899766e-21,1.616266352635857e-21,0.1103736089169979,0.047496395355001164,0.19804319441318513,0.08591807583952457,0.04653265565633774,0.0300038476866896,0.0865449851565063,0.05455355825703527
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,6,50,0.006314624311053194,0.006224110587712974,0.06794836194824483,0.04120248074574524,6.175858643910906e-42,7.779567781424226e-42,2.0169117904337818e-21,1.4518696475648575e-21,0.08244535990059376,0.04668927109319716,0.1510402825474739,0.08614639014384544,0.03278047120198607,0.02065280916888092,0.0635153284482658,0.04774653996120567
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,7,50,0.004623163435608149,0.004452682173971769,0.06038078310481261,0.03126218909893747,3.968645406783601e-42,5.3201057458878253e-42,1.704259756747666e-21,1.0315735981082425e-21,0.07242663938552141,0.035986242723950644,0.13375016771256923,0.06930175620155195,0.03158196184784174,0.014749145409280249,0.05194778818637133,0.03357806740837147
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,8,50,0.0025951188057661057,0.003273254540494175,0.043887229024586444,0.025865612969918246,2.3848978824036928e-42,3.649266969127878e-42,1.3017316691059448e-21,8.308986364475173e-22,0.05427559982985258,0.029466979353391504,0.09852475129067897,0.05922219259179896,0.02359546221792698,0.007396072104279377,0.04070658789947629,0.027656962369876734
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,9,50,0.0015893031074665487,0.0018804970983966162,0.034659500890510224,0.0196982767136435,1.2624017605409412e-42,1.2833260152010742e-42,1.0054385445733531e-21,5.0149286498130615e-22,0.043906706608831884,0.020827117680970415,0.07739125199615955,0.0437802479439495,0.021841408759355543,0.00740196101463338,0.032487457059323786,0.015523590743178231
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,10,50,0.0007756658131256699,0.0010073113948368153,0.025348370892791364,0.011538020029760638,7.122239574777315e-43,9.025791935026392e-43,7.590790100575129e-22,3.6881297966291467e-22,0.03294985435903072,0.012631780999445598,0.056985294446349144,0.026031256491245634,0.017384268529713153,0.003265528841962288,0.024479998182505368,0.012159593077328576
"30, 30, 30",38,124.14956450462341,1615,0.005679116845130921,11,1,0.00039473982178606093,0.0,0.019868060342823124,0.0,3.7274539151040134e-43,0.0,6.105287802474191e-22,0.0,0.026465443894267082,0.0,0.04491935297846794,0.0,0.015785636380314827,0.0,0.01869134046137333,0.0
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,3,50,0.015652847219025715,0.005865610324092278,0.12198620900100343,0.0277887033268777,1.6306349709962167e-41,1.6605907159481132e-41,3.433904491816125e-21,2.1247704937350777e-21,0.14879511579871177,0.04051608550487648,0.2662623742222786,0.052773860091990386,0.07425079306587577,0.047524352416588395,0.10587217625230551,0.06479558881780532
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,4,50,0.010880936747416853,0.006130458454787308,0.09798934503492551,0.0357634591034365,1.0302514465531774e-41,1.0146945167888304e-41,2.76961033670891e-21,1.622274036137831e-21,0.11785614244639873,0.04120661605622763,0.21908337116241455,0.08000819778038015,0.04863046541810036,0.023890757834120608,0.08585458386689425,0.05097405759810122
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,5,50,0.008145388959674165,0.006024210218410613,0.08203250386832005,0.03763053638693206,7.140484480782824e-42,8.927109387578148e-42,2.1753812193570966e-21,1.5518379526391462e-21,0.09881733044981957,0.0439649313312339,0.18320097520947456,0.08184283270061105,0.044939963314682245,0.02547940276211458,0.06831104692071677,0.05104574039405886
"30, 30, 30",39,123.30410385131836,1611,0.005928290821611881,6,50,0.0063548226392595095,0.005696137746265354,0.07040506407969693,0.03738916408791826,5.24570474926138e-42,7.284015035181668e-42,1.8723449225090837e-21,1.3191016793317465e-21,0.08366423867642879,0.04209811899630118,0.1595649229735136,0.08498715561896251,0.032256251461803914,0.015847949439961113,0.059171542562544345,0.04394280985716313
