Time(s)              GasTemp(K)           [O2(X)](m^-3)        [O2(a)](m^-3)        [O(3P)](m^-3)       
1.06555282660677e-02 3.77000000000000e+02 1.15645806619703e+23 4.02270719831465e+21 8.23715276275702e+21 
1.18824283582890e-02 3.77000000000000e+02 1.15607985492953e+23 3.99801069371509e+21 8.36218802545693e+21 
1.31093284505103e-02 3.77000000000000e+02 1.15592559877400e+23 3.97200284505123e+21 8.44505495389102e+21 
1.47294467579484e-02 3.77000000000000e+02 1.15589991154406e+23 3.94141423237161e+21 8.51136962523844e+21 
1.63495650653864e-02 3.77000000000000e+02 1.15594727987073e+23 3.91826488315655e+21 8.54819465833473e+21 
1.79696833728245e-02 3.77000000000000e+02 1.15601074583757e+23 3.90188297353249e+21 8.56826528421669e+21 
1.95898016802625e-02 3.77000000000000e+02 1.15607385262959e+23 3.89030873646252e+21 8.57879239995376e+21 
2.12099199877005e-02 3.77000000000000e+02 1.15613026616435e+23 3.88211082998810e+21 8.58390550595081e+21 
2.43187867490571e-02 3.77000000000000e+02 1.15621643856014e+23 3.87313348048897e+21 8.58462572578966e+21 
2.74276535104137e-02 3.77000000000000e+02 1.15626118282630e+23 3.86951303364263e+21 8.58291776625003e+21 
3.05365202717703e-02 3.77000000000000e+02 1.15627483546420e+23 3.86833167971483e+21 8.58254994652508e+21 
3.36453870331269e-02 3.77000000000000e+02 1.15626345464066e+23 3.86839755115308e+21 8.58469436835657e+21 
3.67542537944835e-02 3.77000000000000e+02 1.15624634212153e+23 3.86900867365921e+21 8.58689462717127e+21 
4.33502806051945e-02 3.77000000000000e+02 1.15625110675641e+23 3.86860855775931e+21 8.58674193199406e+21 
4.99463074159056e-02 3.77000000000000e+02 1.15626036626649e+23 3.86827946802503e+21 8.58554820945041e+21 
5.65423342266166e-02 3.77000000000000e+02 1.15626310787113e+23 3.86828055533280e+21 8.58499771390871e+21 
6.31383610373276e-02 3.77000000000000e+02 1.15626256209945e+23 3.86835621538951e+21 8.58495554813259e+21 
1.00290468141065e-01 3.77000000000000e+02 1.15626199251418e+23 3.86837136161464e+21 8.58503917273773e+21 
1.37442575244803e-01 3.77000000000000e+02 1.15626200949463e+23 3.86836451970752e+21 8.58504946046050e+21 
1.74594682348540e-01 3.77000000000000e+02 1.15626201952493e+23 3.86836368754265e+21 8.58504911873129e+21 
5.46115753385916e-01 3.77000000000000e+02 1.15626201984620e+23 3.86836374582641e+21 8.58504893790858e+21 
9.17636824423292e-01 3.77000000000000e+02 1.15626201969853e+23 3.86836375717557e+21 8.58504894474371e+21 
1.28915789546067e+00 3.77000000000000e+02 1.15626201969734e+23 3.86836375713036e+21 8.58504894507360e+21 
5.00436860583443e+00 3.77000000000000e+02 1.15626201969756e+23 3.86836375711419e+21 8.58504894506218e+21 
8.71957931620819e+00 3.77000000000000e+02 1.15626201969756e+23 3.86836375711436e+21 8.58504894506169e+21 
1.24347900265819e+01 3.77000000000000e+02 1.15626201969755e+23 3.86836375711436e+21 8.58504894506168e+21 
4.95868971303195e+01 3.77000000000000e+02 1.15626201969763e+23 3.86836375711441e+21 8.58504894506202e+21 
8.67390042340571e+01 3.77000000000000e+02 1.15626201969768e+23 3.86836375711444e+21 8.58504894506230e+21 
1.23891111337795e+02 3.77000000000000e+02 1.15626201969770e+23 3.86836375711445e+21 8.58504894506236e+21 
2.23891111337795e+02 3.77000000000000e+02 1.15626201969777e+23 3.86836375711449e+21 8.58504894506272e+21 
3.23891111337795e+02 3.77000000000000e+02 1.15626201969778e+23 3.86836375711450e+21 8.58504894506277e+21 
4.23891111337795e+02 3.77000000000000e+02 1.15626201969784e+23 3.86836375711453e+21 8.58504894506304e+21 
5.23891111337795e+02 3.77000000000000e+02 1.15626201969778e+23 3.86836375711450e+21 8.58504894506276e+21 
6.23891111337795e+02 3.77000000000000e+02 1.15626201969773e+23 3.86836375711447e+21 8.58504894506252e+21 
7.23891111337795e+02 3.77000000000000e+02 1.15626201969746e+23 3.86836375711431e+21 8.58504894506123e+21 
8.23891111337795e+02 3.77000000000000e+02 1.15626201969728e+23 3.86836375711420e+21 8.58504894506038e+21 
9.23891111337795e+02 3.77000000000000e+02 1.15626201969735e+23 3.86836375711424e+21 8.58504894506070e+21 
9.46723777936456e+02 3.77000000000000e+02 1.15626201969738e+23 3.86836375711426e+21 8.58504894506086e+21 
9.53573577916055e+02 3.77000000000000e+02 1.15626201969739e+23 3.86836375711426e+21 8.58504894506088e+21 
9.60423377895653e+02 3.77000000000000e+02 1.15626201969741e+23 3.86836375711427e+21 8.58504894506097e+21 
9.67273177875252e+02 3.77000000000000e+02 1.15626201969742e+23 3.86836375711428e+21 8.58504894506101e+21 
9.77091224512676e+02 3.77000000000000e+02 1.15626201969742e+23 3.86836375711428e+21 8.58504894506102e+21 
9.86909271150101e+02 3.77000000000000e+02 1.15626201969741e+23 3.86836375711428e+21 8.58504894506099e+21 
9.96727317787525e+02 3.77000000000000e+02 1.15626201969740e+23 3.86836375711427e+21 8.58504894506092e+21 
1.00000000000000e+03 3.77000000000000e+02 1.15626201969739e+23 3.86836375711427e+21 8.58504894506092e+21 
