architecture,observed_species_count,n_seeds,repeats_per_seed,test_mse,test_mse_between_seed_std,test_mse_within_subset_std,test_mse_total_std,test_rmse,test_rmse_between_seed_std,test_rmse_within_subset_std,test_rmse_total_std,test_mse_unscaled,test_mse_unscaled_between_seed_std,test_mse_unscaled_within_subset_std,test_mse_unscaled_total_std,test_rmse_unscaled,test_rmse_unscaled_between_seed_std,test_rmse_unscaled_within_subset_std,test_rmse_unscaled_total_std,mean_rel_error_avg,mean_rel_error_avg_between_seed_std,mean_rel_error_avg_within_subset_std,mean_rel_error_avg_total_std,mean_rel_error_k1,mean_rel_error_k1_between_seed_std,mean_rel_error_k1_within_subset_std,mean_rel_error_k1_total_std,mean_rel_error_k2,mean_rel_error_k2_between_seed_std,mean_rel_error_k2_within_subset_std,mean_rel_error_k2_total_std,mean_rel_error_k3,mean_rel_error_k3_between_seed_std,mean_rel_error_k3_within_subset_std,mean_rel_error_k3_total_std,relative_deterioration_test_mse_pct,relative_deterioration_test_mse_pct_between_seed_std,relative_deterioration_test_mse_pct_within_subset_std,relative_deterioration_test_mse_pct_total_std,relative_deterioration_test_mse_unscaled_pct,relative_deterioration_test_mse_unscaled_pct_between_seed_std,relative_deterioration_test_mse_unscaled_pct_within_subset_std,relative_deterioration_test_mse_unscaled_pct_total_std
"50, 50",4,20,50.0,0.01157465394139581,0.000956883751552606,0.006847686400945371,0.006914219808458331,0.10091573566081455,0.004567175272029816,0.0370109328100086,0.037291664449745486,1.1755642756156573e-41,1.994027702285198e-42,1.375852523014015e-41,1.3902271864191255e-41,2.8509353705033955e-21,2.5563140919516847e-22,1.8874487680469982e-21,1.9046811463783743e-21,0.12004967931658031,0.0064229802517881,0.04559556431084767,0.046045739869606896,0.21213944050855935,0.007551836512774262,0.0700283383642931,0.07043435531599333,0.058433775412850074,0.008103746297090682,0.04334606849463547,0.0440970787920157,0.08957582235336305,0.008186322494709403,0.05676404571327386,0.057351310026241165,2539.308315795989,610.3488839907255,1606.944240378347,1718.951875962171,2646.09869606131,862.2981699039,3380.931585065519,3489.1627243098387
"50, 50",5,20,50.0,0.00849280501890462,0.0008078762082388716,0.006157285211959231,0.006210058385333446,0.08427769950761568,0.004705726986821548,0.036985544718635036,0.03728370132656698,7.593290257455496e-42,1.5273188876190032e-42,1.0033574082129252e-41,1.0149153257590193e-41,2.244450895183601e-21,2.391021847132022e-22,1.580683580553174e-21,1.5986652046520024e-21,0.09999678053706883,0.0062000630222283455,0.04289246888993132,0.0433382587208269,0.18351909464411437,0.009095760118993991,0.07717487168696911,0.07770903211366377,0.04480372277414427,0.005428121729170653,0.02890287989693406,0.029408178655661244,0.07166752504743636,0.008541588222661522,0.04906397982287042,0.04980193616140386,1831.1974591710532,443.61266513129124,1430.781198004374,1497.9743099358275,1681.8188700350831,646.4623740227293,2367.1294967973786,2453.8165488958857
"50, 50",6,20,50.0,0.0061606127624545485,0.0008686147014509305,0.005647603565649124,0.005714010634773914,0.06919341742940242,0.00619303408401362,0.0365312205617231,0.037052445896256496,5.337722414219732e-42,1.2317862600968394e-42,7.787528778280191e-42,7.88434536680792e-42,1.8638831167090376e-21,2.3728470520720556e-22,1.3443801955330446e-21,1.3651601156885363e-21,0.08321408891491593,0.007105824412433731,0.041481952698976546,0.042086163287955655,0.15189260111190378,0.011717443944405373,0.07845739766034604,0.07932755977731795,0.03758698887284846,0.004960723654346067,0.022886162971760122,0.023417626582229734,0.06016267782170327,0.008200185522728578,0.042833238419209024,0.04361111505205951,1300.9654276515153,348.9897630593333,1327.0702041084796,1372.1913792735804,1170.3998262548544,516.7499475977206,1951.4405762856834,2018.7002826364412
"50, 50",7,20,50.0,0.004463999942294323,0.0008763154857867975,0.004875031038378535,0.004953166306089858,0.057601806506667984,0.006943416249362771,0.033133378944061646,0.03385309187449062,3.9659254864643466e-42,1.0130298156786364e-42,6.582453877852467e-42,6.659949584006539e-42,1.6030097608710693e-21,2.1029319134431945e-22,1.162781994481616e-21,1.1816451214372371e-21,0.07088474973477424,0.00862753593318525,0.037799950269617306,0.03877203395056731,0.1279026530329138,0.01542197828480608,0.07210501599044862,0.07373581724779268,0.032735897614620625,0.00457702752816648,0.018354996506710818,0.01891705785144614,0.05201569874491543,0.008045192194199422,0.03776893278904109,0.03861628414884983,916.4795860061374,291.83928408563804,1124.1548510933358,1161.4190875701577,798.9571592186555,244.12163214313682,1508.8824020312695,1528.503017478174
"50, 50",8,20,50.0,0.00293673988620867,0.0007525597851327772,0.003722304138754748,0.0037976169279680936,0.0462001303167839,0.005851591940740841,0.02771365577977601,0.028324686139847257,2.5803271701338244e-42,9.188025169751224e-43,4.5444492660529245e-42,4.636401319658252e-42,1.3263370229176878e-21,1.961665108273517e-22,8.846897601992986e-22,9.06177284956796e-22,0.058015885921195144,0.007184623421043672,0.03093604253158407,0.03175936934541031,0.1033742602225393,0.012036941257151166,0.06168550640590862,0.06284894315246281,0.027328038671985265,0.005442432673496667,0.013326965047348567,0.014395418395406036,0.04334535869490356,0.006380613103576291,0.029700470468100988,0.03037811991555877,556.2938645721841,177.03787919368054,850.7412147489638,868.9666421341724,495.56810498777156,267.60504490089284,1098.5287106014707,1130.6536994465364
"50, 50",9,20,50.0,0.0016224357845785562,0.0003877620291717352,0.0023692982375356376,0.0024008193454853823,0.03465332065427707,0.004050830452523308,0.020128932531441403,0.02053249016097196,1.4904939141760204e-42,4.695976816879858e-43,2.875926035735638e-42,2.914013134093399e-42,1.0433904715919196e-21,1.3928249605270573e-22,6.184097543381244e-22,6.339008108270658e-22,0.04544610507227481,0.005144654986819221,0.022281709885209416,0.022867926673444682,0.07941704118810594,0.007388445538510155,0.045882270640984046,0.04647334598076662,0.023002414518035946,0.006156424092907851,0.009180404816780145,0.011053569116430058,0.03391885924898087,0.004586817012304203,0.019999924125223792,0.02051915825074391,267.0745809169754,114.22896551803353,566.0576597007765,577.4682074965169,233.83997198731066,108.6462262184055,686.0245571610806,694.5744708089677
"50, 50",10,20,50.0,0.0008441086459206416,0.00018660019094470762,0.0009401294454332958,0.0009584690946667596,0.026646252744477787,0.002700429212101903,0.011260263880943385,0.011579544921889267,7.884545939370017e-43,2.4059685219053054e-43,7.25204984291545e-43,7.640740242445701e-43,8.302549876113616e-22,1.1507935796642068e-22,2.9306652973940157e-22,3.1485115448963998e-22,0.03775744465738535,0.004076479450805788,0.01209926062183948,0.01276752882542418,0.06551528232172131,0.00816193530589885,0.027346267353039314,0.028538316805333527,0.020201656438410286,0.006991275968034923,0.005591639396644832,0.008952338845426554,0.02755539551377297,0.003885971297817221,0.009443221347652575,0.010211523018052723,87.31033091317917,39.750325775082295,213.49290528980228,217.16194189660777,72.41959826265857,26.148538052727638,160.23849249384142,162.35800109324398
"50, 50",11,20,1.0,0.0004613235723809339,0.00010425272453181927,0.0,0.00010425272453181927,0.021343402490692675,0.002404733353456802,0.0,0.002404733353456802,4.709063489363548e-43,1.8110310821641298e-43,0.0,1.8110310821641298e-43,6.760007803018681e-22,1.1802242993439945e-22,0.0,1.1802242993439945e-22,0.03337696669623256,0.005427799338221566,0.0,0.005427799338221566,0.05982967782765627,0.014168562753114641,0.0,0.014168562753114641,0.017316236300393938,0.007663601912611304,0.0,0.007663601912611304,0.022984986286610366,0.003974370335059146,0.0,0.003974370335059146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"30, 30, 30",3,20,50.0,0.014633550024358555,0.0013776167570749213,0.00714547158295524,0.0072770593011321875,0.11577845849634054,0.006811599261910241,0.03438750773267598,0.03505564965265522,1.5564524723724035e-41,2.625479239413945e-42,1.5846651701703636e-41,1.6062674478171446e-41,3.394541517626785e-21,3.573890597996039e-22,1.978354282924987e-21,2.010376235641499e-21,0.13922547456994652,0.008558802684776249,0.04669447384351868,0.04747238134873774,0.24012548562884328,0.011941656274745319,0.06301598263653657,0.06413748687181657,0.07221822755876928,0.010320418127939952,0.0591583411144758,0.060051813908925264,0.10533271238394082,0.009757008932990913,0.059431978024711396,0.06022756208953043,3206.2972086526793,404.2722446539995,1643.407530580525,1692.4019497053182,4171.362363030642,2064.2892994942185,4742.2247044743335,5172.038810733443
"30, 30, 30",4,20,50.0,0.01098666749174299,0.001028618701195734,0.00656499042364794,0.006645085078088824,0.09799109781153692,0.005540547509443536,0.03679286037709483,0.0372076906221388,1.0922217691902461e-41,1.780183901942716e-42,1.167288422541521e-41,1.180784827412189e-41,2.803092165913328e-21,2.56940936770437e-22,1.7317255430088565e-21,1.7506832955442824e-21,0.11650601960718632,0.007192304721525466,0.044549196025881754,0.045126046954721354,0.21042953784018753,0.009811204203985601,0.07460065400516319,0.07524305486840879,0.05158360618585721,0.011250378684872477,0.038370642742793185,0.039985963100169296,0.08750491454917937,0.007375767305751044,0.052482180697369915,0.05299793613056997,2389.619247902201,353.4618168050793,1515.9519116860445,1556.6134569904373,2887.1655445156016,1449.3718627862163,3451.4923704580547,3743.458077762665
"30, 30, 30",5,20,50.0,0.008128770608105695,0.0008180322366498988,0.006032176692869141,0.00608739126343889,0.08197788005541576,0.005283535716021924,0.03715483871668782,0.037528626270162936,7.358669454275127e-42,1.0824840387665694e-42,8.886686123265377e-42,8.952371861558355e-42,2.2607084923841504e-21,1.9116342844724499e-22,1.4870518183175734e-21,1.4992886869236713e-21,0.09746154541708528,0.006685461515683833,0.04295889719599628,0.043475996181500734,0.18085530030541122,0.01106551364882131,0.08017502343373688,0.08093503552178444,0.03969598318869248,0.006895870263155853,0.024824319002178127,0.025764313315285142,0.07183335356786848,0.006693786931989043,0.04651977315782559,0.04699889443536324,1745.979167512583,306.3443514670693,1394.2303842458912,1427.4891334193142,1967.9432431091366,1115.3692185474501,2734.2415251770485,2952.9858129841505
"30, 30, 30",6,20,50.0,0.005849801762306014,0.0009602866564676708,0.0055563813874768605,0.005638752041514961,0.06685232180921241,0.006571223395088606,0.036570313836708584,0.03715600666142043,5.2174111319681977e-42,1.1538654266135235e-42,7.237059466932644e-42,7.328467448972766e-42,1.8668153085410156e-21,2.269813570542925e-22,1.2964918817003448e-21,1.3162111288714697e-21,0.08043057548068464,0.00768516308623842,0.04154762119878794,0.04225241482968819,0.148022926421836,0.013529657963091347,0.07933951070823753,0.08048484083366741,0.03342290646582842,0.005713026514430187,0.022252045460581554,0.022973728455224034,0.059845893605612224,0.007213291091307152,0.04129913311822792,0.04192433618657595,1225.4634341770345,257.38607301392676,1275.5582208596693,1301.2672152114703,1299.2805890281857,593.6837189236679,2059.2747917597803,2143.1455914361777
"30, 30, 30",7,20,50.0,0.00418613252400246,0.0007334259412456067,0.004796643134420929,0.004852391057023273,0.0551522763433734,0.005922594234581431,0.03330588259871127,0.033828374748820486,3.8299476873816596e-42,7.025848699436223e-43,5.998593154216334e-42,6.039598109914663e-42,1.590024909666152e-21,1.7042565428701766e-22,1.128150508745906e-21,1.1409506886902713e-21,0.06753674296848475,0.007508117035799411,0.03808547128666823,0.038818487149177926,0.12321211329847574,0.013871927056032619,0.07346933501434727,0.0747674631621154,0.028167755082715303,0.004998259345648635,0.01647654638677712,0.017217989932683257,0.051230360873043536,0.006140976819406657,0.036437485660374226,0.03695134581509133,851.0329751606627,196.23795313304194,1098.222903268801,1115.6177120833104,928.3602748009969,455.9317550146528,1796.9754487194175,1853.9133012444495
"30, 30, 30",8,20,50.0,0.002802247008512495,0.0007453013350607987,0.0037551585495531918,0.0038284056488734107,0.04440867899332851,0.006361324271934867,0.02810070803533766,0.028811737861156487,2.5952509987788838e-42,8.755115641118284e-43,4.492598081969616e-42,4.5771124112272586e-42,1.318115782831977e-21,2.0366751103442386e-22,9.035160910449634e-22,9.261866884317264e-22,0.055337361546233296,0.007265221683033987,0.031496444044578374,0.03232351208573851,0.09997312743403017,0.013507952516835002,0.06258935082100606,0.06403039604275489,0.023285123005975038,0.003559023426248466,0.01149510435210203,0.01203345635361264,0.04275383363571018,0.006759493944401552,0.029312928548193493,0.030082196370210375,534.2504610270005,180.91201169646044,857.3135648606848,876.1938737917516,601.0808527557797,395.5633029640916,1365.5842802259558,1421.721053178894
"30, 30, 30",9,20,50.0,0.0014896723896526964,0.0002933354587627046,0.002305087452635234,0.002323676796730543,0.03288228328677373,0.0030466281579147264,0.019978635898590745,0.020209597608588294,1.4632975135804045e-42,4.074176826267122e-43,2.678425609863052e-42,2.709234747246385e-42,1.0285600358282314e-21,1.305848844806354e-22,6.231447297559461e-22,6.366802700550976e-22,0.042728391887620086,0.003682651569062421,0.022327109854908548,0.022628781607772708,0.07588419243507087,0.006739458449900105,0.04530975694682049,0.045808234792206054,0.018616890042088927,0.0033343426647430446,0.007165598512686058,0.007903394400568302,0.03368409250024705,0.004553780452325446,0.02047839129782936,0.020978594484735973,238.23468880757704,79.04918813339206,531.3108749542287,537.1592128868092,294.3955936603745,243.0591290505824,973.570418336988,1003.4525896501965
"30, 30, 30",10,20,50.0,0.0007782353363436415,0.00013771928300729128,0.0008793444914549691,0.0008900636693878931,0.025655125556420848,0.0020525231776110015,0.010762760688284993,0.010956727112962302,7.67786842886675e-43,1.9823644566377042e-43,7.606829573502504e-43,7.860892124896052e-43,8.064943660741182e-22,1.168058089674316e-22,3.220404995786167e-22,3.4256923442916054e-22,0.03526237286999821,0.0027662988189703247,0.012209873224139255,0.012519321599247676,0.06350301358476282,0.006335265190180955,0.026848003300787772,0.02758533788571439,0.015660125001333652,0.0037445716884544344,0.005024955585469374,0.006266737250428995,0.026623979203403,0.0038743069370841504,0.01056981236701189,0.011257494735356345,76.279393630541,36.611933060783336,201.64950721823956,204.9462305186561,94.47063789570664,62.74912101612355,236.9670479415853,245.13431827968458
"30, 30, 30",11,20,1.0,0.00044836779561592267,6.371850041949885e-05,0.0,6.371850041949885e-05,0.021123701522630323,0.0014686829469793851,0.0,0.0014686829469793851,4.381860297943703e-43,1.8937816458132534e-43,0.0,1.8937816458132534e-43,6.472567546851398e-22,1.387253520767955e-22,0.0,1.387253520767955e-22,0.031653658114373685,0.0036454721572549724,0.0,0.0036454721572549724,0.060379745252430436,0.012937496010936923,0.0,0.012937496010936923,0.012615107512101532,0.004228408130283496,0.0,0.004228408130283496,0.0219661224167794,0.004638273655241771,0.0,0.004638273655241771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
